ts,number,pick_lat,pick_lng,drop_lat,drop_lng
2019-12-01 10:15:20,12345,12.9715987,77.594566,12.935242,77.534712
2019-12-01 11:30:45,12345,12.9715987,77.594566,12.935242,77.534712
2019-12-01 13:05:10,67890,12.2958104,76.639381,12.315020,76.615013
2019-12-08 09:22:05,12345,12.9715987,77.594566,12.935242,77.534712
2019-12-08 10:40:30,67890,12.2958104,76.639381,12.315020,76.615013
2019-12-08 14:50:10,13579,13.0826802,80.2707184,13.060422,80.249583
2019-12-08 16:30:55,12345,12.9715987,77.594566,12.935242,77.534712
2019-12-08 18:45:20,67890,12.2958104,76.639381,12.315020,76.615013
2019-12-08 21:05:15,13579,13.0826802,80.2707184,13.060422,80.249583
2019-12-16 07:15:20,12345,12.9715987,77.594566,12.935242,77.534712
2019-12-16 08:45:30,67890,12.2958104,76.639381,12.315020,76.615013
2019-12-16 09:30:50,12345,12.9715987,77.594566,12.935242,77.534712
2019-12-16 11:05:25,13579,13.0826802,80.2707184,13.060422,80.249583
2019-12-16 14:20:00,67890,12.2958104,76.639381,12.315020,76.615013
2019-12-16 16:35:15,13579,13.0826802,80.2707184,13.060422,80.249583
2019-12-16 18:50:30,12345,12.9715987,77.594566,12.935242,77.534712
2019-12-16 18:50:30,12375,12.9715987,77.594566,12.935242,77.534712
